"date","mean_ndvi_masked","year"
2009-03-22,0.239776730695099,2009
2009-04-07,0.21651911986461,2009
2009-04-23,0.204447423354023,2009
2009-05-09,0.20245460692666,2009
2009-05-25,0.196392210567091,2009
2009-06-10,0.193007417284606,2009
2009-06-26,0.177744351065995,2009
2009-07-12,0.173313343447858,2009
2009-07-28,0.169974401978583,2009
2009-08-13,0.170957895413123,2009
2009-08-29,0.166985570773727,2009
2009-09-14,0.160303821049024,2009
2009-09-30,0.15698189329444,2009
2009-10-16,0.158110896130403,2009
2009-11-01,0.165960657146742,2009
2009-11-17,0.174650860885083,2009
2009-12-03,0.172575117489479,2009
2009-12-19,0.174209058035019,2009
2010-01-01,0.218399873611574,2010
2010-01-17,0.282560287879742,2010
2010-02-02,0.250473849528985,2010
2010-02-18,0.253676443613119,2010
