"year","experiment","model","Longitude","Latitude","tmax35","tmax37"
2000,"historical","EC-Earth3-CC",15.46875,-17.8947,48,21
2000,"historical","EC-Earth3-CC",15.46875,-17.19295,39,14
2000,"historical","EC-Earth3-CC",15.46875,-16.4912,32,11
2000,"historical","EC-Earth3-CC",15.46875,-15.78944,31,7
2000,"historical","EC-Earth3-CC",15.46875,-15.08769,21,0
2000,"historical","EC-Earth3-CC",15.46875,-14.38594,1,0
2000,"historical","EC-Earth3-CC",16.171875,-34.73677,0,0
2000,"historical","EC-Earth3-CC",16.171875,-34.03502,0,0
2000,"historical","EC-Earth3-CC",16.171875,-33.33326,0,0
2000,"historical","EC-Earth3-CC",16.171875,-32.63151,0,0
2000,"historical","EC-Earth3-CC",16.171875,-31.92976,0,0
2000,"historical","EC-Earth3-CC",16.171875,-31.228,0,0
2000,"historical","EC-Earth3-CC",16.171875,-30.52625,0,0
2000,"historical","EC-Earth3-CC",16.171875,-29.8245,0,0
2000,"historical","EC-Earth3-CC",16.171875,-29.12275,0,0
2000,"historical","EC-Earth3-CC",16.171875,-28.42099,0,0
2000,"historical","EC-Earth3-CC",16.171875,-27.71924,49,16
2000,"historical","EC-Earth3-CC",16.171875,-27.01749,75,30
2000,"historical","EC-Earth3-CC",16.171875,-26.31573,60,16
2000,"historical","EC-Earth3-CC",16.171875,-25.61398,40,9
2000,"historical","EC-Earth3-CC",16.171875,-24.91223,14,3
2000,"historical","EC-Earth3-CC",16.171875,-24.21048,16,3
2000,"historical","EC-Earth3-CC",16.171875,-23.50872,11,1
2000,"historical","EC-Earth3-CC",16.171875,-22.80697,8,0
2000,"historical","EC-Earth3-CC",16.171875,-22.10522,12,1
2000,"historical","EC-Earth3-CC",16.171875,-21.40347,13,1
2000,"historical","EC-Earth3-CC",16.171875,-20.70171,10,0
2000,"historical","EC-Earth3-CC",16.171875,-19.99996,22,3
2000,"historical","EC-Earth3-CC",16.171875,-19.29821,44,11
2000,"historical","EC-Earth3-CC",16.171875,-18.59645,50,21
2000,"historical","EC-Earth3-CC",16.171875,-17.8947,46,22
2000,"historical","EC-Earth3-CC",16.171875,-17.19295,35,10
2000,"historical","EC-Earth3-CC",16.171875,-16.4912,29,7
2000,"historical","EC-Earth3-CC",16.171875,-15.78944,26,4
